"","id","sample","hexaco2","hexaco3","hexaco4","hexaco6","hexaco7","hexaco8","hexaco12","hexaco16","hexaco20","hexaco33","hexaco35","hexaco37","hexaco41","hexaco46","hexaco47","hexaco48","hexaco52","hexaco53","hexaco57","hexaco62","hexaco65","hexaco68","hexaco69","hexaco71","hexaco73","hexaco78","hexaco80","hexaco81","hexaco82","hexaco89","hexaco94","hexaco97","hexaco99","hexaco111","hexaco112","hexaco120","hexaco121","hexaco127","hexaco130","hexaco131","hexaco134","hexaco135","hexaco138","hexaco139","hexaco146","hexaco154","hexaco157","hexaco160","hexaco162","hexaco164","hexaco165","hexaco170","hexaco171","hexaco173","hexaco175","hexaco180","hexaco186","hexaco187","hexaco191","hexaco192"
"1",101398,"research",1,1,5,3,1,1,4,3,4,2,5,4,2,1,2,2,4,5,4,2,3,4,5,1,5,3,5,4,2,4,5,1,1,4,3,4,5,5,4,1,5,4,4,4,3,2,2,2,5,2,1,4,1,1,1,2,1,4,2,2
"2",101952,"research",1,2,5,3,1,2,5,5,3,1,5,2,2,4,2,2,3,4,3,4,3,4,4,2,5,5,4,2,2,2,3,2,4,5,4,4,5,5,3,1,4,4,4,4,3,2,2,4,4,4,2,3,4,2,1,2,4,3,4,2
"3",101432,"research",1,3,3,1,1,1,5,3,2,1,5,4,1,3,1,2,4,5,4,1,3,3,5,1,5,3,5,4,3,4,3,1,1,5,3,4,4,5,1,1,5,4,5,1,1,2,3,2,5,3,1,5,1,1,1,3,1,2,2,2
"4",101095,"research",1,4,1,1,2,5,5,4,3,2,4,2,3,4,3,1,2,4,1,3,2,4,4,2,2,5,2,4,3,3,3,3,1,5,5,5,5,5,4,1,4,3,5,3,3,4,3,2,5,3,3,4,2,2,1,1,1,4,2,1
"5",216402,"applicant",1,4,1,2,1,1,3,1,3,1,5,4,1,1,1,1,5,5,2,2,5,4,5,1,5,4,4,3,1,4,3,2,3,3,3,3,4,5,5,3,5,3,3,4,2,2,3,3,4,3,3,5,2,3,1,2,3,2,3,3
"6",101229,"research",1,4,2,2,2,2,4,4,2,2,4,4,2,4,4,2,2,4,3,2,2,2,4,2,4,4,4,4,4,4,4,3,2,4,3,4,5,4,2,1,4,4,2,2,2,3,3,2,4,4,2,4,1,2,1,2,4,2,3,2
"7",101029,"research",1,4,2,2,1,4,5,2,3,2,5,5,5,2,1,1,4,5,1,1,5,4,4,1,5,5,2,4,4,5,4,1,3,2,4,5,4,5,4,1,1,1,4,1,1,3,1,1,4,5,2,1,1,1,1,1,2,1,1,1
"8",100057,"research",1,4,3,2,4,4,2,1,4,1,5,1,1,1,2,1,2,5,3,3,5,2,5,1,4,3,2,5,3,5,5,2,2,5,4,5,3,5,3,1,2,4,4,2,1,1,5,2,4,2,1,4,1,1,1,3,2,2,4,1
"9",101238,"research",1,4,3,1,1,2,3,2,2,5,5,1,2,2,2,2,2,5,4,2,4,4,5,1,5,5,3,4,3,4,4,1,3,3,2,4,5,5,3,1,4,2,5,1,4,2,5,2,4,3,2,4,2,1,1,2,3,3,2,1
"10",218267,"applicant",1,4,5,2,1,1,2,1,5,1,5,5,2,2,2,2,4,2,4,5,4,5,5,1,5,3,4,2,2,2,3,1,1,5,4,5,5,5,3,1,4,5,4,2,2,2,1,2,4,2,2,4,1,2,1,4,4,1,2,5
"11",100569,"research",1,4,5,1,1,4,3,3,2,1,5,4,1,1,1,2,3,4,4,1,3,3,4,1,5,5,2,4,2,4,4,1,2,2,1,4,5,5,5,1,4,3,4,1,2,2,1,2,2,2,3,3,1,1,1,1,2,1,2,2
"12",101815,"research",1,4,5,1,5,2,4,1,1,1,5,2,4,1,2,1,4,4,4,2,4,2,4,1,4,5,4,5,1,1,5,1,1,5,4,5,4,4,4,2,4,2,5,1,4,5,2,1,4,2,2,5,2,4,3,1,2,1,3,1
"13",208201,"applicant",1,4,5,2,1,2,4,1,4,2,5,4,1,1,1,2,5,5,4,3,4,4,5,1,5,5,3,3,1,4,1,1,1,3,4,4,5,5,5,1,4,2,4,1,4,5,1,1,4,2,2,4,1,1,1,2,2,1,1,2
"14",100783,"research",1,4,5,2,1,3,5,3,4,2,5,5,2,2,2,2,4,4,5,4,2,5,4,2,2,4,2,4,2,2,3,4,1,5,4,4,2,4,4,2,2,4,4,2,2,3,5,2,5,2,2,5,5,1,2,2,2,2,1,1
"15",214709,"applicant",1,4,5,5,1,1,5,1,4,2,4,5,4,1,3,2,5,5,3,2,5,5,5,1,5,4,5,4,1,2,5,1,1,5,3,4,4,5,3,1,3,3,2,1,2,3,1,1,2,2,2,4,1,1,1,2,3,1,2,3
"16",100097,"research",1,5,1,3,1,4,3,2,4,5,5,2,2,1,1,2,1,5,1,1,5,4,2,1,5,3,2,1,4,5,5,2,2,1,4,4,4,4,2,2,4,3,4,4,1,2,3,2,2,5,4,5,1,1,1,4,2,4,2,4
"17",100665,"research",1,5,2,3,2,5,2,4,4,2,2,1,2,2,2,3,2,5,4,2,4,2,5,2,2,1,2,3,4,4,4,2,1,5,2,3,5,5,2,2,4,2,2,2,4,2,2,2,2,2,2,2,1,2,2,2,3,2,2,4
"18",218200,"applicant",1,5,3,1,1,2,2,4,2,2,4,4,1,2,3,3,2,4,5,2,5,5,5,1,5,4,2,4,4,5,5,2,3,2,3,3,5,5,2,1,5,2,5,4,1,2,1,3,5,1,1,5,2,1,1,2,3,1,3,2
"19",213542,"applicant",1,5,4,2,1,2,4,2,3,1,4,2,2,1,2,2,3,5,4,2,4,4,4,2,5,4,4,4,2,2,4,2,2,4,4,4,4,5,2,2,2,3,4,2,2,2,2,4,4,2,2,4,1,2,1,2,4,3,2,4
"20",100606,"research",1,5,4,3,1,3,3,1,2,3,4,4,1,3,2,3,4,4,3,2,4,3,5,1,5,4,4,2,1,3,3,2,1,3,4,3,5,5,3,1,3,4,3,2,5,4,1,3,4,4,3,3,1,1,1,3,3,1,3,3
"21",218248,"applicant",1,5,4,2,1,1,3,2,3,2,5,5,1,2,2,3,4,5,3,2,4,4,5,1,5,3,4,2,2,4,4,2,1,5,4,3,4,5,4,1,4,3,3,1,2,3,1,2,4,3,2,4,1,1,1,3,2,1,1,3
"22",217388,"applicant",1,5,4,2,1,4,3,1,4,2,5,4,1,1,1,3,3,5,3,2,4,3,5,1,5,3,3,3,1,5,4,1,1,3,5,4,5,5,5,1,3,3,4,1,2,4,1,1,3,1,2,4,1,1,1,3,4,1,1,3
"23",100048,"research",1,5,4,4,1,2,2,2,4,2,2,2,1,1,2,2,2,5,4,4,4,4,4,1,5,3,2,2,2,4,4,4,1,4,4,2,4,4,2,1,4,2,2,2,2,2,5,4,2,2,2,4,1,1,1,4,2,4,1,4
"24",101197,"research",1,5,4,4,1,4,4,4,1,1,5,3,1,4,1,1,3,5,4,2,3,4,5,1,5,3,3,4,4,5,3,1,2,3,2,3,5,5,4,1,4,3,4,3,2,2,3,3,4,4,1,4,1,1,1,2,3,3,1,2
"25",213497,"applicant",1,5,5,1,1,1,4,2,3,4,4,2,2,1,2,1,5,5,4,2,2,3,5,1,4,4,5,3,2,5,4,1,1,4,4,4,4,5,2,1,2,3,5,1,5,2,2,2,4,4,1,4,1,1,1,2,2,1,2,2
"26",212889,"applicant",1,5,5,1,1,1,5,2,2,1,5,5,1,1,1,2,5,5,5,1,2,2,5,1,5,4,4,4,2,2,5,1,2,4,2,4,5,5,2,1,4,4,3,1,2,2,1,2,3,2,1,4,1,1,1,2,3,1,1,2
"27",100799,"research",1,5,5,1,1,2,4,1,4,2,4,2,1,1,1,1,3,5,2,3,5,4,5,1,5,4,2,4,1,4,3,1,1,3,2,3,1,5,4,1,3,4,5,1,3,2,2,2,5,3,1,3,1,1,1,3,1,1,2,1
