"","id","hexaco1","hexaco2","hexaco3","hexaco4","hexaco5","hexaco6","hexaco7","hexaco8","hexaco9","hexaco10","hexaco11","hexaco12","hexaco13","hexaco14","hexaco15","hexaco16","hexaco17","hexaco18","hexaco19","hexaco20","hexaco21","hexaco22","hexaco23","hexaco24","hexaco25","hexaco26","hexaco27","hexaco28","hexaco29","hexaco30","hexaco31","hexaco32","hexaco33","hexaco34","hexaco35","hexaco36","hexaco37","hexaco38","hexaco39","hexaco40","hexaco41","hexaco42","hexaco43","hexaco44","hexaco45","hexaco46","hexaco47","hexaco48","hexaco49","hexaco50","hexaco51","hexaco52","hexaco53","hexaco54","hexaco55","hexaco56","hexaco57","hexaco58","hexaco59","hexaco60","hexaco61","hexaco62","hexaco63","hexaco64","hexaco65","hexaco66","hexaco67","hexaco68","hexaco69","hexaco70","hexaco71","hexaco72","hexaco73","hexaco74","hexaco75","hexaco76","hexaco77","hexaco78","hexaco79","hexaco80","hexaco81","hexaco82","hexaco83","hexaco84","hexaco85","hexaco86","hexaco87","hexaco88","hexaco89","hexaco90","hexaco91","hexaco92","hexaco93","hexaco94","hexaco95","hexaco96","hexaco97","hexaco98","hexaco99","hexaco100","hexaco101","hexaco102","hexaco103","hexaco104","hexaco105","hexaco106","hexaco107","hexaco108","hexaco109","hexaco110","hexaco111","hexaco112","hexaco113","hexaco114","hexaco115","hexaco116","hexaco117","hexaco118","hexaco119","hexaco120","hexaco121","hexaco122","hexaco123","hexaco124","hexaco125","hexaco126","hexaco127","hexaco128","hexaco129","hexaco130","hexaco131","hexaco132","hexaco133","hexaco134","hexaco135","hexaco136","hexaco137","hexaco138","hexaco139","hexaco140","hexaco141","hexaco142","hexaco143","hexaco144","hexaco145","hexaco146","hexaco147","hexaco148","hexaco149","hexaco150","hexaco151","hexaco152","hexaco153","hexaco154","hexaco155","hexaco156","hexaco157","hexaco158","hexaco159","hexaco160","hexaco161","hexaco162","hexaco163","hexaco164","hexaco165","hexaco166","hexaco167","hexaco168","hexaco169","hexaco170","hexaco171","hexaco172","hexaco173","hexaco174","hexaco175","hexaco176","hexaco177","hexaco178","hexaco179","hexaco180","hexaco181","hexaco182","hexaco183","hexaco184","hexaco185","hexaco186","hexaco187","hexaco188","hexaco189","hexaco190","hexaco191","hexaco192","hexaco193","hexaco194","hexaco195","hexaco196","hexaco197","hexaco198","hexaco199","hexaco200","sample","missing_hexacoitems","missing_demographics","retain","sincerity","fearfulness","socialselfesteem","forgiveness","organization","aestheticappreciation","fairness","anxiety","socialboldness","gentleness","diligence","inquisitiveness","greedavoidance","dependence","sociability","flexibility","perfectionism","creativity","modesty","sentimentality","liveliness","patience","prudence","unconventionality","altruism","honestyhumility","emotionality","extraversion","agreeableness","conscientiousness","openness","other","matched","hexaco_global_ml","hexaco_global_pca","hexaco_global_unit","hexaco_items_global_ml","mahalanobis_distance_applicant","mahalanobis_distance_research","proximity_to_ideal_applicant","proximity_to_ideal_research","modal_distance_applicant","modal_proximity_applicant","prop_extreme","weighted_desirability","mean_agreement"
"2",101398,1,1,1,5,4,3,1,1,3,4,5,4,4,2,3,3,4,2,4,4,2,2,4,4,3,4,4,3,3,3,4,2,2,4,5,2,4,2,4,4,2,2,1,4,4,1,2,2,2,4,5,4,5,3,1,3,4,4,5,3,2,2,3,2,3,4,4,4,5,5,1,4,5,4,1,5,1,3,1,5,4,2,4,4,3,4,3,3,4,3,4,2,1,5,4,2,1,4,1,4,4,3,5,1,2,3,1,5,2,3,4,3,2,5,2,4,5,5,5,4,5,2,1,4,1,4,5,5,3,4,1,2,2,5,4,3,2,4,4,1,5,1,4,1,4,3,1,3,1,3,2,5,5,2,1,4,2,2,2,2,4,5,2,2,1,4,3,4,1,4,1,2,1,2,1,3,4,3,2,2,3,5,4,2,4,1,4,3,1,5,2,2,4,5,5,5,5,1,1,2,"research",0,0,TRUE,4.5,2,4.375,4,4.5,2.75,4.75,1.625,3.625,3.5,4.75,4,3.75,1.875,3.375,3.5,3.875,4.25,2.625,4,4.75,4.5,4.125,3.625,4.75,3.90625,2.375,4.03125,3.875,4.3125,3.65625,4.75,TRUE,0.915292403490268,1.10386962364848,17.40625,1.04855090389671,266.473355137956,169.321223026561,-266.473355137956,-169.321223026561,0.625,-0.625,0.335,0.290337690722081,3.045
"5",101952,1,1,2,5,5,3,1,2,3,5,5,5,2,4,5,5,4,2,2,3,1,3,4,4,1,4,4,2,5,4,5,3,1,3,5,1,2,3,2,3,2,1,4,4,4,4,2,2,3,4,4,3,4,2,2,4,3,4,4,3,3,4,4,4,3,2,4,4,4,2,2,3,5,4,3,4,2,5,1,4,2,2,4,4,4,4,2,4,2,2,2,4,3,3,4,4,2,4,4,4,4,3,4,4,2,2,2,4,4,5,5,4,3,4,2,4,4,2,4,4,5,3,3,1,2,2,5,4,3,3,1,1,3,4,4,4,2,4,4,3,4,5,4,4,4,3,4,4,4,4,2,3,3,2,1,5,2,4,3,4,4,4,4,4,2,4,4,4,2,3,4,2,2,4,1,5,4,2,2,2,4,4,4,4,4,4,3,4,2,4,4,2,4,4,4,4,5,2,2,3,"research",0,0,TRUE,4.375,2.25,2.75,3.375,4,3.875,4.625,3.125,3.125,3.375,4.5,4.375,2.5,3.25,4.125,2.25,3.5,3.375,3.375,3.25,4,2.375,3.5,3.625,4,3.71875,2.96875,3.5,2.84375,3.875,3.8125,4,TRUE,-0.683311200656857,-0.599972295812952,14.78125,-0.991285036493312,392.874973692082,220.999582248058,-392.874973692082,-220.999582248058,0.815,-0.815,0.17,0.115113827821531,3.265
"7",101432,1,1,3,3,5,1,1,1,4,4,5,5,1,1,1,3,3,3,3,2,1,3,3,4,1,5,4,3,4,4,5,1,1,3,5,1,4,1,5,4,1,1,1,3,5,3,1,2,1,5,5,4,5,5,1,1,4,3,4,4,3,1,4,4,3,3,5,3,5,3,1,4,5,1,1,4,1,3,1,5,4,3,4,5,3,5,3,5,4,3,3,3,1,3,4,3,1,4,1,2,4,1,5,1,1,1,1,5,3,4,5,3,3,4,2,4,4,2,4,4,4,2,2,2,1,2,5,5,4,1,1,2,3,5,4,3,1,5,1,2,3,3,3,2,5,1,1,4,1,4,1,4,5,2,1,5,3,2,2,2,5,5,3,3,1,4,2,1,1,5,1,4,1,4,1,4,3,2,3,3,2,2,4,2,4,1,2,2,1,5,2,2,3,5,4,5,5,1,1,1,"research",0,0,TRUE,4.875,1.75,4.5,2.75,4.75,3.75,5,1.5,4.25,2.625,4.5,4.5,3,1.875,3.25,3,4,4.125,3.5,3,4.625,3,4,3.25,4.625,4.09375,2.03125,4.15625,2.84375,4.3125,3.90625,4.625,TRUE,0.341265702663583,0.814328810477948,17.28125,0.875189511882073,382.106938019049,231.128585813377,-382.106938019049,-231.128585813377,0.82,-0.82,0.46,0.227699801573981,2.88
"8",101095,1,1,4,1,4,1,2,5,2,4,5,5,2,1,4,4,3,1,4,3,2,2,3,5,4,3,5,4,2,5,5,5,2,5,4,1,2,4,2,4,3,1,2,3,2,4,3,1,2,4,5,2,4,2,1,5,1,4,5,5,3,3,3,3,2,2,4,4,4,2,2,5,2,4,1,2,3,5,2,2,4,3,4,4,3,4,4,3,3,2,4,5,3,3,3,1,3,4,1,4,5,2,5,2,2,4,2,5,5,4,5,5,4,5,1,3,4,4,4,5,5,4,2,4,5,1,5,1,2,4,1,1,1,4,3,3,4,5,3,3,4,4,4,4,4,3,1,3,4,5,2,4,5,4,1,5,3,2,4,2,2,5,4,3,3,4,3,2,1,4,2,4,2,4,1,4,1,4,4,1,4,5,2,2,4,1,4,4,1,4,2,1,4,5,5,4,4,2,1,2,"research",0,0,TRUE,3.75,2.375,4.625,2.5,3.125,4.625,4.625,4,3.375,3.75,4.25,4.875,2.625,2.375,3.125,3.5,2.625,4.25,2.75,3,3.625,2.875,3.5,4.5,4.375,3.4375,2.9375,3.6875,3.15625,3.375,4.5625,4.375,TRUE,-0.540712294285076,-0.441649595448503,15.28125,-0.644064796021926,442.428733638102,249.640597939832,-442.428733638102,-249.640597939832,1,-1,0.325,0.102119376794426,3.16
"9",216402,1,1,4,1,5,2,1,1,5,1,5,3,3,2,2,1,4,2,1,3,1,5,4,4,2,2,4,2,5,5,5,1,1,5,5,2,4,1,2,4,1,2,1,4,5,1,1,1,1,1,4,5,5,2,1,1,2,3,5,4,4,2,2,1,5,4,5,4,5,5,1,1,5,1,1,5,1,4,1,4,3,1,4,5,2,3,4,3,4,2,4,2,3,3,4,4,2,4,3,4,5,3,4,2,2,4,2,2,3,4,3,3,1,5,2,5,3,4,5,3,4,4,1,2,1,4,5,4,4,5,3,2,2,5,3,4,1,3,4,2,2,4,4,3,5,2,2,4,1,3,1,4,5,2,1,4,3,3,2,3,5,4,1,3,3,4,2,2,2,5,2,2,3,3,1,4,2,3,3,2,5,3,4,4,5,3,2,3,4,5,3,3,4,5,4,4,5,4,1,2,"applicant",0,0,TRUE,4.5,3,4.125,3.375,4.75,3.5,4.875,1.875,4,3.5,4.25,3.75,3,2.375,3,3.375,4.75,3.625,3.5,3.75,3.5,3.375,4.25,2.875,4.125,3.96875,2.75,3.65625,3.40625,4.5,3.4375,4.125,TRUE,0.297307808529093,0.431855972389734,16.21875,0.225970993422038,388.417842853158,366.476308357166,-388.417842853158,-366.476308357166,0.8,-0.8,0.375,0.193433898235553,3.01
"10",101229,1,1,4,2,3,2,2,2,4,4,4,4,4,1,3,4,4,2,2,2,2,2,4,4,2,3,4,4,3,2,5,2,2,3,4,3,4,2,3,4,2,2,4,2,4,4,4,2,2,4,4,2,4,4,2,2,3,2,4,4,2,2,2,4,2,4,4,2,4,2,2,4,4,4,2,3,2,4,2,4,4,4,4,4,3,4,4,4,4,2,1,4,2,4,3,2,3,4,2,2,4,2,4,2,2,4,2,4,3,4,4,3,2,4,2,3,4,4,4,4,5,3,2,2,2,2,4,4,4,2,1,2,2,4,4,3,2,2,2,4,4,2,2,2,4,2,2,4,2,2,2,4,4,3,2,4,3,2,2,2,4,4,2,4,2,4,4,2,2,4,1,4,2,3,1,3,2,4,3,2,2,2,4,3,4,4,2,3,2,4,3,2,2,3,4,4,4,4,2,3,"research",0,0,TRUE,4.125,2.125,4.125,2.125,3.75,3.125,4.25,2.125,3.875,2.75,4,3.875,3.625,2.375,3.25,2.875,3.75,3.25,4.125,2.25,4,3.25,3,3.5,3.25,4.03125,2.21875,3.8125,2.75,3.625,3.4375,3.25,TRUE,-0.490007599037101,-0.285733679236198,15.4375,-0.667655988126013,229.004753016124,131.345794149957,-229.004753016124,-131.345794149957,0.63,-0.63,0.045,0.143032859783099,2.97
"11",101029,1,1,4,2,5,2,1,4,1,4,1,5,5,1,1,2,2,1,1,3,2,2,4,4,1,5,3,2,5,2,5,4,2,4,5,2,5,1,4,4,5,1,5,4,5,2,1,1,1,5,3,4,5,2,1,5,1,4,5,4,1,1,1,1,5,1,5,4,4,4,1,5,5,5,2,4,1,5,1,2,4,4,5,2,1,5,5,2,5,2,1,5,2,4,5,1,1,4,3,4,5,3,5,5,2,4,1,5,1,4,2,4,1,5,1,4,4,4,1,5,4,1,2,1,1,2,5,2,1,4,1,2,1,1,1,2,1,4,1,2,4,1,3,4,5,1,1,3,1,5,1,5,4,3,1,4,1,1,5,1,5,4,1,5,2,2,2,2,1,1,1,2,1,4,1,2,5,3,1,1,1,5,1,2,4,2,1,5,1,1,1,1,1,5,5,5,5,5,1,2,"research",0,0,TRUE,4.875,1.625,3.875,3.25,5,3.875,5,3.625,2.5,3.5,4.5,4.125,5,1.875,1.25,4.25,4,3.75,5,3.25,4.25,3.75,4,4.375,3.875,4.96875,2.59375,2.96875,3.6875,4.375,4.03125,3.875,TRUE,0.586929957417768,0.957782070981291,17.4375,0.348539169363646,634.219684300164,348.208512965315,-634.219684300164,-348.208512965315,0.975,-0.975,0.59,0.191330162531742,2.795
"12",100057,1,1,4,3,3,2,4,4,2,1,5,2,4,3,5,1,5,1,5,4,1,1,5,5,4,4,5,4,3,5,5,4,1,3,5,1,1,2,2,3,1,1,2,4,5,1,2,1,2,5,4,2,5,5,1,5,3,1,5,4,3,3,3,2,5,3,4,2,5,2,1,4,4,3,1,4,1,3,1,2,5,3,5,2,5,1,5,3,5,2,4,1,1,5,4,1,2,5,2,4,3,1,4,4,1,1,1,5,1,5,5,4,2,4,1,5,5,4,4,5,3,1,1,4,1,1,5,1,3,3,1,2,1,2,4,1,1,4,2,2,5,2,5,2,5,1,1,4,1,4,4,5,5,1,1,2,5,4,2,2,5,4,2,2,1,3,2,1,2,4,1,3,1,4,1,5,2,5,1,3,3,2,4,2,4,2,2,4,1,5,4,1,2,4,4,2,4,2,1,2,"research",0,0,TRUE,3.875,1.5,4.625,3,4.25,3.875,4.125,4,4,1.75,5,3.375,2.875,3.75,3.75,4,4.75,3.875,3.25,4,5,4.125,4.125,4,3.625,3.53125,3.3125,4.34375,3.21875,4.53125,3.78125,3.625,TRUE,0.382723239904496,0.466231464270242,16.09375,0.627792997919434,432.910322699169,272.018375315006,-432.910322699169,-272.018375315006,0.88,-0.88,0.475,0.206621585825082,2.9
"13",101238,1,1,4,3,5,1,1,2,4,4,4,3,2,2,3,2,2,2,3,2,1,2,4,5,2,1,4,5,4,4,4,4,5,2,5,1,1,2,2,2,2,3,2,3,4,2,2,2,2,2,4,2,5,1,1,4,4,3,4,4,3,2,3,4,4,4,4,4,5,3,1,4,5,2,2,3,1,5,1,3,4,3,5,3,5,4,4,4,4,2,3,4,1,4,4,2,1,4,3,3,4,1,5,2,2,4,2,4,4,4,3,2,2,4,5,3,4,2,4,4,5,5,2,4,1,1,5,4,4,3,1,2,1,4,2,3,4,5,1,4,5,4,2,4,5,4,2,4,1,5,1,5,4,2,2,4,5,4,4,2,4,4,4,3,2,4,3,5,2,4,2,4,1,4,1,3,4,3,1,2,2,2,3,3,4,3,3,4,2,4,2,1,3,5,5,5,5,1,1,1,"research",0,0,TRUE,4.625,3.375,3.875,2.5,4.75,4.75,4.875,2.625,3.375,3,4.5,3.875,2.375,2.75,2.75,2.75,3.5,3.625,2.875,2.875,4.5,3.125,3.75,4.375,4.75,3.6875,2.90625,3.625,2.84375,4.125,4.15625,4.75,TRUE,-0.399021886884422,-0.187263757750986,15.53125,-0.197860643139121,457.5497110205,249.112059257126,-457.5497110205,-249.112059257126,0.815,-0.815,0.285,0.178385692778655,3.055
"18",218267,1,1,4,5,2,2,1,1,4,3,5,2,2,2,5,1,2,1,1,5,1,1,2,5,1,5,4,2,2,4,5,2,1,3,5,3,5,2,2,4,2,1,2,5,5,2,2,2,1,5,5,4,2,2,1,5,4,3,2,2,1,5,5,2,4,5,5,5,5,2,1,5,5,4,2,5,2,3,1,4,2,2,2,4,1,2,2,1,2,4,1,1,1,3,2,1,1,4,1,4,2,2,5,1,1,4,1,4,1,4,5,4,4,4,1,5,4,2,4,5,5,1,2,2,2,2,5,4,4,3,1,2,1,4,5,2,2,4,2,1,5,2,4,2,5,2,1,2,4,4,1,4,5,2,1,4,1,3,2,2,4,4,3,2,2,4,4,2,1,4,1,2,2,2,1,2,1,2,1,4,1,2,4,2,4,4,1,3,1,4,2,5,4,4,5,5,5,1,1,2,"applicant",0,0,TRUE,5,1.5,4.5,4,2.75,3.625,5,2.125,4.25,3.25,4.25,3.125,4.625,3.25,4.5,4.25,3.25,4.125,4.25,4.625,4.75,3.25,3.375,3.625,4.625,4.71875,2.875,4.5,3.6875,3.40625,3.625,4.625,TRUE,0.819991730923239,0.94183478822199,17.0625,1.18659176177776,278.118711255614,257.88542984537,-278.118711255614,-257.88542984537,0.765,-0.765,0.425,0.273969307075438,2.795
